ts,bearing,raw,confidence,snr_db,coherence,signal_strength
2026-02-05T06:00:00.359Z,114.8,12.4,0.13,-49.1,0.31,0.00
2026-02-05T06:00:00.359Z,125.1,122.3,0.00,-49.1,0.00,0.00
2026-02-05T06:00:00.360Z,142.9,228.8,0.00,-41.8,0.00,0.01
2026-02-05T06:00:00.360Z,115.1,141.5,0.00,-45.8,0.00,0.01
2026-02-05T06:00:00.360Z,144.8,219.1,0.00,-45.8,0.00,0.01
2026-02-05T06:00:00.360Z,203.5,305.7,0.17,-45.8,0.42,0.01
2026-02-05T06:00:00.360Z,215.4,181.8,0.00,-45.8,0.00,0.01
2026-02-05T06:00:00.360Z,214.9,226.1,0.00,-45.8,0.00,0.01
2026-02-05T06:00:00.361Z,242.3,278.7,0.17,-45.8,0.42,0.01
2026-02-05T06:00:00.361Z,249.7,256.0,0.00,-45.8,0.00,0.01
2026-02-05T06:00:00.361Z,196.9,41.9,0.17,-45.8,0.42,0.01
2026-02-05T06:00:00.361Z,172.1,57.7,0.11,-49.0,0.28,0.00
2026-02-05T06:00:00.361Z,198.6,358.5,0.12,-45.6,0.30,0.01
2026-02-05T06:00:00.362Z,165.0,111.2,0.00,-45.6,0.00,0.01
2026-02-05T06:00:00.362Z,147.1,166.4,0.05,-45.6,0.11,0.01
2026-02-05T06:00:00.362Z,163.6,124.4,0.05,-45.6,0.11,0.01
2026-02-05T06:00:00.362Z,192.7,203.1,0.05,-45.6,0.11,0.01
2026-02-05T06:00:00.363Z,137.0,80.0,0.00,-45.6,0.00,0.01
2026-02-05T06:00:00.363Z,156.3,207.5,0.05,-45.6,0.11,0.01
2026-02-05T06:00:00.363Z,173.2,251.1,0.00,-45.6,0.00,0.01
2026-02-05T06:00:00.363Z,171.6,116.4,0.00,-40.9,0.00,0.01
2026-02-05T06:00:00.364Z,200.8,349.2,0.21,-42.2,0.51,0.01
2026-02-05T06:00:00.364Z,212.8,139.5,0.00,-42.2,0.00,0.01
2026-02-05T06:00:00.364Z,202.6,156.7,0.00,-42.2,0.00,0.01
2026-02-05T06:00:00.364Z,172.9,102.9,0.21,-42.2,0.51,0.01
2026-02-05T06:00:00.364Z,193.3,218.4,0.00,-42.2,0.00,0.01
2026-02-05T06:00:00.365Z,192.2,343.6,0.21,-42.2,0.51,0.01
2026-02-05T06:00:00.365Z,215.2,254.4,0.00,-42.2,0.00,0.01
2026-02-05T06:00:00.365Z,250.6,334.0,0.21,-42.2,0.51,0.01
2026-02-05T06:00:00.365Z,242.8,63.5,0.21,-42.2,0.51,0.01
2026-02-05T06:00:00.366Z,253.5,272.1,0.09,-52.8,0.22,0.00
2026-02-05T06:00:00.366Z,254.7,349.5,0.09,-49.9,0.23,0.00
2026-02-05T06:00:00.366Z,257.1,266.6,0.00,-50.0,0.00,0.00
2026-02-05T06:00:00.366Z,259.8,347.6,0.09,-49.9,0.23,0.00
2026-02-05T06:00:00.367Z,275.6,142.5,0.08,-49.8,0.20,0.00
2026-02-05T06:00:00.367Z,283.2,309.8,0.09,-49.9,0.23,0.00
2026-02-05T06:00:00.367Z,243.5,150.8,0.08,-49.8,0.20,0.00
2026-02-05T06:00:00.367Z,244.0,269.3,0.00,-49.8,0.00,0.00
2026-02-05T06:00:00.368Z,182.4,39.4,0.09,-49.9,0.23,0.00
2026-02-05T06:00:00.368Z,193.2,196.5,0.00,-41.5,0.00,0.01
2026-02-05T06:00:00.368Z,184.6,267.2,0.00,-40.3,0.00,0.01
2026-02-05T06:00:00.368Z,226.2,358.5,0.20,-40.3,0.49,0.01
2026-02-05T06:00:00.368Z,218.6,231.6,0.00,-40.3,0.00,0.01
2026-02-05T06:00:00.369Z,265.6,274.1,0.20,-40.3,0.49,0.01
2026-02-05T06:00:00.369Z,291.6,326.7,0.20,-40.3,0.48,0.01
2026-02-05T06:00:00.369Z,301.3,315.7,0.20,-40.3,0.49,0.01
2026-02-05T06:00:00.369Z,252.7,115.4,0.00,-40.3,0.00,0.01
2026-02-05T06:00:00.369Z,232.3,129.5,0.00,-40.3,0.00,0.01
2026-02-05T06:00:00.370Z,184.5,35.2,0.00,-43.9,0.00,0.01
2026-02-05T06:00:00.370Z,148.1,144.5,0.05,-46.8,0.13,0.00
2026-02-05T06:00:00.370Z,140.3,276.7,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.370Z,155.0,189.0,0.00,-46.8,0.00,0.00
2026-02-05T06:00:00.370Z,183.4,271.8,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.371Z,177.3,4.8,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.371Z,195.9,237.3,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.371Z,196.5,279.7,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.371Z,225.2,332.6,0.11,-46.8,0.28,0.00
2026-02-05T06:00:00.371Z,181.3,52.2,0.13,-44.9,0.31,0.01
2026-02-05T06:00:00.372Z,223.5,215.8,0.04,-43.4,0.11,0.01
2026-02-05T06:00:00.372Z,181.0,24.8,0.13,-43.4,0.32,0.01
